"No.","Time","Source","Destination","Protocol","Length","Info"
"35","15","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=1281 Win=65408 Len=0 TSval=117247853 TSecr=117247853"
"36","16","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=1281 Ack=1 Win=65536 Len=80 TSval=117248858 TSecr=117247853 [TCP segment of a reassembled PDU]"
"37","16","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=1361 Win=65408 Len=0 TSval=117248858 TSecr=117248858"
"38","17","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=1361 Ack=1 Win=65536 Len=80 TSval=117249859 TSecr=117248858 [TCP segment of a reassembled PDU]"
"39","17","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=1441 Win=65408 Len=0 TSval=117249859 TSecr=117249859"
"40","18","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=1441 Ack=1 Win=65536 Len=80 TSval=117250860 TSecr=117249859 [TCP segment of a reassembled PDU]"
"41","18","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=1521 Win=65408 Len=0 TSval=117250860 TSecr=117250860"
"42","19","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=1521 Ack=1 Win=65536 Len=80 TSval=117251879 TSecr=117250860 [TCP segment of a reassembled PDU]"
"43","19","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=1601 Win=65408 Len=0 TSval=117251879 TSecr=117251879"
"44","20","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=1601 Ack=1 Win=65536 Len=80 TSval=117252883 TSecr=117251879 [TCP segment of a reassembled PDU]"
"45","20","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=1681 Win=65408 Len=0 TSval=117252883 TSecr=117252883"
"46","21","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=1681 Ack=1 Win=65536 Len=80 TSval=117253888 TSecr=117252883 [TCP segment of a reassembled PDU]"
"47","21","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=1761 Win=65408 Len=0 TSval=117253888 TSecr=117253888"
"48","22","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=1761 Ack=1 Win=65536 Len=80 TSval=117254889 TSecr=117253888 [TCP segment of a reassembled PDU]"
"49","22","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=1841 Win=65408 Len=0 TSval=117254889 TSecr=117254889"
"50","23","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=1841 Ack=1 Win=65536 Len=80 TSval=117255911 TSecr=117254889 [TCP segment of a reassembled PDU]"
"51","23","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=1921 Win=65408 Len=0 TSval=117255911 TSecr=117255911"
"52","24","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=1921 Ack=1 Win=65536 Len=80 TSval=117256926 TSecr=117255911 [TCP segment of a reassembled PDU]"
"53","24","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=2001 Win=65408 Len=0 TSval=117256926 TSecr=117256926"
"54","25","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=2001 Ack=1 Win=65536 Len=80 TSval=117257926 TSecr=117256926 [TCP segment of a reassembled PDU]"
"55","25","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=2081 Win=65408 Len=0 TSval=117257926 TSecr=117257926"
"56","26","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=2081 Ack=1 Win=65536 Len=80 TSval=117258927 TSecr=117257926 [TCP segment of a reassembled PDU]"
"57","26","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=2161 Win=65408 Len=0 TSval=117258927 TSecr=117258927"
"58","27","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=2161 Ack=1 Win=65536 Len=80 TSval=117259928 TSecr=117258927 [TCP segment of a reassembled PDU]"
"59","27","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=2241 Win=65408 Len=0 TSval=117259928 TSecr=117259928"
"60","28","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=2241 Ack=1 Win=65536 Len=80 TSval=117260929 TSecr=117259928 [TCP segment of a reassembled PDU]"
"61","28","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=2321 Win=65408 Len=0 TSval=117260929 TSecr=117260929"
"62","29","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=2321 Ack=1 Win=65536 Len=80 TSval=117261930 TSecr=117260929 [TCP segment of a reassembled PDU]"
"63","29","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=2401 Win=65408 Len=0 TSval=117261930 TSecr=117261930"
"64","30","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=2401 Ack=1 Win=65536 Len=80 TSval=117262931 TSecr=117261930 [TCP segment of a reassembled PDU]"
"65","30","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=2481 Win=65408 Len=0 TSval=117262931 TSecr=117262931"
"66","31","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=2481 Ack=1 Win=65536 Len=80 TSval=117263932 TSecr=117262931 [TCP segment of a reassembled PDU]"
"67","31","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=2561 Win=65408 Len=0 TSval=117263932 TSecr=117263932"
"68","32","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=2561 Ack=1 Win=65536 Len=80 TSval=117264932 TSecr=117263932 [TCP segment of a reassembled PDU]"
"69","32","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=2641 Win=65408 Len=0 TSval=117264932 TSecr=117264932"
"70","33","127.0.0.1","127.0.0.1","TCP","146","43212  >  8080 [PSH, ACK] Seq=2641 Ack=1 Win=65536 Len=80 TSval=117265934 TSecr=117264932 [TCP segment of a reassembled PDU]"
"71","33","127.0.0.1","127.0.0.1","TCP","66","8080  >  43212 [ACK] Seq=1 Ack=2721 Win=65408 Len=0 TSval=117265934 TSecr=117265934"
